"Subnational gas consumption, Great Britain, 2013",,,,,,,,,,,,,,,
"This table shows the gas consumption and the number of gas meters by local authority. Country/region totals are shown where the local authority is specified as ""All local authorities"". ",,,,,,,,,,,,,,,
"Some consumption within given countries/regions could not be allocated to specific local authorities. This consumption is shown in the rows where ""Unallocated"" is specified in the local authority column.",,,,,,,,,,,,,,,
"Cells in the ""Notes"" columns have been left blank where there is no note for the given row.",,,,,,,,,,,,,,,
"Freeze panes are active on this sheet. To turn off freeze panes select the 'View' ribbon then 'Freeze Panes' then 'Unfreeze Panes' or use [Alt W, F].",,,,,,,,,,,,,,,
Code,Country or region,Local authority,Notes,"Number of meters
(thousands):
Domestic
","Number of meters
(thousands):
Non-Domestic","Number of meters
(thousands):
All meters","Total consumption
(GWh):
Domestic
","Total consumption
(GWh):
Non-Domestic","Total consumption
(GWh):
All meters","Mean consumption
(kWh per meter):
Domestic
","Mean consumption
(kWh per meter):
Non-Domestic","Mean consumption
(kWh per meter):
All meters","Median consumption
(kWh per meter):
Domestic
","Median consumption
(kWh per meter):
Non-Domestic","Median consumption
(kWh per meter):
All meters"
K03000001,Great Britain,All local authorities,,"23,074.1",272.7,"23,346.8","315,656","182,746","498,402","13,680","670,216","21,348","12,218","154,330","12,321"
E92000001,England,All local authorities,,"19,943.6",236.2,"20,179.7","272,429","151,748","424,176","13,660","642,539","21,020","12,195","152,633","12,297"
E12000001,North East,All local authorities,,"1,089.5",11.7,"1,101.1","15,301","8,600","23,902","14,045","737,090","21,706","12,953","162,636","13,046"
E12000002,North West,All local authorities,,"2,876.0",31.8,"2,907.8","39,022","25,618","64,640","13,568","805,173","22,230","12,233","155,310","12,330"
E12000003,Yorkshire and The Humber,All local authorities,,"2,103.1",24.4,"2,127.5","29,506","22,043","51,549","14,030","904,784","24,230","12,697","152,900","12,796"
E12000004,East Midlands,All local authorities,,"1,745.3",19.0,"1,764.3","24,292","13,975","38,266","13,919","735,561","21,690","12,698","155,596","12,791"
E12000005,West Midlands,All local authorities,,"2,089.3",23.8,"2,113.1","28,395","16,288","44,682","13,590","683,642","21,145","12,352","163,026","12,448"
E12000006,East,All local authorities,,"2,040.3",22.9,"2,063.3","28,259","15,364","43,622","13,850","669,940","21,142","12,360","149,346","12,456"
E12000007,London,All local authorities,,"3,009.1",42.5,"3,051.6","41,065","20,882","61,946","13,647","491,159","20,300","11,712","153,443","11,859"
E12000008,South East,All local authorities,,"3,168.8",40.0,"3,208.8","44,491","18,218","62,709","14,040","455,026","19,543","12,319","142,079","12,432"
E12000009,South West,All local authorities,,"1,822.2",20.0,"1,842.2","22,099","10,760","32,858","12,128","537,682","17,836","10,704","152,946","10,789"
W92000004,Wales,All local authorities,,"1,111.2",10.8,"1,121.9","14,477","8,976","23,453","13,029","833,518","20,904","11,928","157,668","12,009"
S92000003,Scotland,All local authorities,,"1,964.9",24.2,"1,989.1","28,073","20,574","48,647","14,287","849,129","24,457","12,711","168,056","12,830"
Unallocated,Unallocated,All local authorities,,54.4,1.5,55.9,677,"1,448","2,125","12,437","965,366","37,985","10,639","220,820","10,878"
E06000047,North East,County Durham,,218.1,2.1,220.2,"3,106","1,347","4,453","14,243","644,364","20,227","13,281","159,328","13,362"
E06000005,North East,Darlington,,45.3,0.5,45.8,644,596,"1,240","14,207","1,196,602","27,055","13,145","149,524","13,246"
E06000001,North East,Hartlepool,[note 1],40.5,0.4,40.9,538,313,851,"13,283","772,790","20,798","12,296","171,221","12,376"
E06000002,North East,Middlesbrough,[note 1],57.7,0.6,58.3,775,359,"1,135","13,434","588,636","19,450","12,335","167,790","12,417"
E06000057,North East,Northumberland,,116.8,1.3,118.1,"1,703","1,144","2,847","14,583","877,144","24,107","13,150","141,177","13,247"
E06000003,North East,Redcar and Cleveland,[note 1],58.6,0.5,59.1,788,463,"1,251","13,444","1,002,854","21,179","12,642","150,856","12,707"
E06000004,North East,Stockton-on-Tees,[note 1],79.6,0.8,80.3,"1,107",727,"1,834","13,909","949,075","22,827","12,949","178,310","13,023"
E08000037,North East,Gateshead,,86.4,1.0,87.3,"1,213",756,"1,969","14,046","792,992","22,549","12,982","166,308","13,070"
E08000021,North East,Newcastle upon Tyne,,109.4,1.8,111.2,"1,557","1,221","2,778","14,234","682,194","24,990","12,736","167,857","12,886"
E08000022,North East,North Tyneside,,90.1,0.9,91.0,"1,272",574,"1,846","14,116","642,711","20,283","13,015","167,157","13,096"
E08000023,North East,South Tyneside,,67.7,0.6,68.3,891,252,"1,143","13,175","409,815","16,748","12,171","163,799","12,242"
E08000024,North East,Sunderland,,119.3,1.3,120.6,"1,706",848,"2,554","14,298","662,073","21,178","13,355","174,312","13,445"
E06000008,North West,Blackburn with Darwen,[note 1],57.7,0.8,58.5,820,468,"1,288","14,200","576,966","22,006","12,924","156,540","13,065"
E06000009,North West,Blackpool,,62.7,0.8,63.4,810,350,"1,160","12,927","454,972","18,286","11,611","146,896","11,726"
E06000049,North West,Cheshire East,[note 1],144.1,1.8,145.8,"2,208","1,746","3,954","15,324","994,338","27,111","13,621","133,529","13,737"
E06000050,North West,Cheshire West and Chester,[note 1],132.0,1.3,133.3,"1,792","1,497","3,289","13,581","1,139,778","24,676","12,224","152,226","12,308"
E06000006,North West,Halton,[note 1],53.1,0.5,53.6,639,557,"1,197","12,027","1,114,826","22,307","11,059","173,709","11,131"
E06000007,North West,Warrington,,86.1,0.9,87.0,"1,156","1,105","2,261","13,425","1,211,711","25,983","12,188","160,479","12,267"
E07000026,North West,Allerdale,[note 1],36.7,0.4,37.2,518,958,"1,476","14,101","2,182,187","39,713","12,727","148,142","12,845"
E07000027,North West,Barrow-in-Furness,[note 1],32.0,0.3,32.3,379,495,874,"11,830","1,672,301","27,035","10,965","162,957","11,032"
E07000028,North West,Carlisle,,41.9,0.6,42.5,572,517,"1,090","13,653","930,664","25,661","12,357","150,906","12,483"
E07000029,North West,Copeland,[note 1],28.5,0.2,28.7,398,89,487,"13,965","369,723","16,951","12,893","145,406","12,978"
E07000030,North West,Eden,[note 1],10.5,0.2,10.6,155,279,434,"14,725","1,860,856","40,729","13,046","179,845","13,167"
E07000031,North West,South Lakeland,,39.2,0.8,40.0,573,678,"1,251","14,614","876,295","31,300","12,738","130,055","12,938"
E08000001,North West,Bolton,,114.7,1.3,116.0,"1,577",531,"2,108","13,744","422,816","18,173","12,419","152,682","12,517"
E08000002,North West,Bury,,78.0,0.8,78.8,"1,135",436,"1,571","14,554","541,174","19,933","13,153","143,286","13,252"
E08000003,North West,Manchester,[note 1],180.0,2.6,182.6,"2,166","1,694","3,860","12,031","648,128","21,135","10,629","192,534","10,746"
E08000004,North West,Oldham ,,89.4,1.0,90.4,"1,246",399,"1,644","13,936","404,202","18,193","12,672","161,970","12,776"
E08000005,North West,Rochdale,,87.2,0.9,88.1,"1,173",491,"1,664","13,455","522,477","18,886","12,148","167,522","12,235"
E08000006,North West,Salford,,94.3,1.1,95.5,"1,190",577,"1,767","12,619","502,644","18,507","11,294","161,681","11,383"
E08000007,North West,Stockport,,118.0,1.2,119.2,"1,817",633,"2,451","15,407","508,153","20,557","13,879","147,848","13,978"
E08000008,North West,Tameside,,95.8,0.9,96.6,"1,248",538,"1,787","13,033","625,241","18,488","11,986","159,915","12,059"
E08000009,North West,Trafford,,90.9,1.3,92.3,"1,440","2,517","3,957","15,835","1,866,009","42,881","14,176","134,968","14,322"
E08000010,North West,Wigan,,134.5,1.0,135.5,"1,682",838,"2,520","12,507","817,382","18,593","11,679","149,002","11,737"
E07000117,North West,Burnley,,39.1,0.5,39.6,522,199,721,"13,331","434,079","18,207","12,315","170,077","12,421"
E07000118,North West,Chorley,[note 1],44.6,0.4,44.9,629,226,855,"14,117","586,845","19,023","12,827","144,546","12,900"
E07000119,North West,Fylde,,32.0,0.4,32.4,490,191,681,"15,309","445,271","21,014","13,641","137,029","13,773"
E07000120,North West,Hyndburn,,35.3,0.4,35.7,478,161,639,"13,546","404,242","17,915","12,526","157,280","12,631"
E07000121,North West,Lancaster,,53.5,0.6,54.1,721,460,"1,181","13,469","732,408","21,810","12,207","156,890","12,301"
E07000122,North West,Pendle,,38.2,0.4,38.6,540,256,797,"14,148","573,370","20,616","12,876","152,646","13,003"
E07000123,North West,Preston,,54.4,0.8,55.2,726,390,"1,116","13,338","505,773","20,230","11,857","167,680","11,978"
E07000124,North West,Ribble Valley,,20.2,0.3,20.5,330,264,594,"16,291","933,036","28,935","14,715","131,089","14,849"
E07000125,North West,Rossendale,,29.9,0.3,30.3,456,290,745,"15,236","831,902","24,625","13,817","145,785","13,942"
E07000126,North West,South Ribble,,45.4,0.4,45.9,622,307,929,"13,703","708,602","20,265","12,680","155,817","12,749"
E07000127,North West,West Lancashire,[note 1],41.3,0.4,41.8,608,421,"1,029","14,711","937,549","24,627","13,209","141,215","13,306"
E07000128,North West,Wyre,,44.3,0.4,44.7,629,395,"1,024","14,176","1,034,496","22,890","13,051","145,636","13,131"
E08000011,North West,Knowsley ,,62.5,0.4,62.9,736,603,"1,339","11,775","1,364,538","21,276","11,064","194,929","11,113"
E08000012,North West,Liverpool,,193.6,2.2,195.8,"2,338","1,771","4,110","12,076","815,570","20,990","10,883","185,034","10,977"
E08000014,North West,Sefton,[note 1],117.6,1.2,118.7,"1,641",408,"2,049","13,961","344,211","17,257","12,576","145,856","12,672"
E08000013,North West,St. Helens,[note 1],77.7,0.6,78.4,980,"1,042","2,022","12,611","1,628,832","25,812","11,690","156,133","11,763"
E08000015,North West,Wirral,,139.0,1.2,140.2,"1,884",838,"2,722","13,553","689,243","19,413","12,183","142,594","12,256"
E06000011,Yorkshire and The Humber,East Riding of Yorkshire,[note 1],127.0,1.2,128.2,"1,841","1,244","3,085","14,496","1,016,638","24,065","13,189","141,276","13,273"
E06000010,Yorkshire and The Humber,"Kingston upon Hull, City of",[note 1],110.6,1.2,111.9,"1,314","1,035","2,348","11,872","834,317","20,987","10,910","174,292","10,986"
E06000012,Yorkshire and The Humber,North East Lincolnshire,[note 1],68.9,0.6,69.5,866,"2,093","2,959","12,572","3,333,225","42,586","11,688","178,889","11,768"
E06000013,Yorkshire and The Humber,North Lincolnshire,[note 1],65.7,0.6,66.3,897,769,"1,666","13,651","1,261,971","25,115","12,551","161,130","12,626"
E06000014,Yorkshire and The Humber,York,,78.0,1.2,79.2,"1,100",673,"1,773","14,098","581,892","22,398","12,841","152,371","12,960"
E07000163,Yorkshire and The Humber,Craven,,20.6,0.3,20.9,308,128,436,"14,948","420,141","20,836","13,384","138,004","13,530"
E07000164,Yorkshire and The Humber,Hambleton,,23.8,0.3,24.1,354,289,642,"14,852","1,037,960","26,658","13,458","162,108","13,548"
E07000165,Yorkshire and The Humber,Harrogate,,56.6,1.0,57.6,919,480,"1,399","16,223","497,608","24,287","14,118","131,062","14,287"
E07000166,Yorkshire and The Humber,Richmondshire,,12.2,0.2,12.4,186,154,340,"15,330","720,770","27,469","13,973","194,549","14,116"
E07000167,Yorkshire and The Humber,Ryedale,,13.2,0.2,13.3,187,262,449,"14,237","1,531,126","33,684","12,576","116,770","12,699"
E07000168,Yorkshire and The Humber,Scarborough,,46.0,0.6,46.6,627,446,"1,074","13,629","759,028","23,030","12,112","138,076","12,240"
E07000169,Yorkshire and The Humber,Selby,,26.5,0.2,26.7,372,"1,033","1,405","14,042","4,696,427","52,581","12,806","133,413","12,873"
E08000016,Yorkshire and The Humber,Barnsley,,101.7,0.8,102.5,"1,353","1,135","2,487","13,299","1,439,773","24,264","12,427","152,811","12,488"
E08000017,Yorkshire and The Humber,Doncaster,,125.5,1.1,126.6,"1,676","1,034","2,710","13,352","955,278","21,401","12,486","155,756","12,549"
E08000018,Yorkshire and The Humber,Rotherham ,[note 1],110.3,1.1,111.4,"1,486","1,311","2,796","13,471","1,210,078","25,107","12,551","166,639","12,625"
E08000019,Yorkshire and The Humber,Sheffield,[note 1],220.2,2.7,222.9,"3,085","2,107","5,192","14,009","793,116","23,296","12,705","162,687","12,803"
E08000032,Yorkshire and The Humber,Bradford ,,195.9,2.6,198.5,"3,022","1,935","4,957","15,430","742,360","24,975","13,950","155,177","14,087"
E08000033,Yorkshire and The Humber,Calderdale,,87.2,1.2,88.5,"1,285",642,"1,928","14,736","518,344","21,790","13,138","134,769","13,285"
E08000034,Yorkshire and The Humber,Kirklees ,[note 1],172.4,2.0,174.5,"2,538","1,340","3,877","14,719","654,467","22,225","13,231","143,686","13,345"
E08000035,Yorkshire and The Humber,Leeds ,[note 1],301.9,3.8,305.7,"4,237","2,499","6,736","14,034","652,734","22,031","12,538","158,323","12,656"
E08000036,Yorkshire and The Humber,Wakefield,[note 1],138.8,1.4,140.2,"1,853","1,437","3,290","13,350","1,000,543","23,460","12,291","155,166","12,378"
E06000015,East Midlands,Derby,[note 1],101.8,1.0,102.8,"1,320",648,"1,968","12,967","642,522","19,146","11,906","167,945","11,989"
E06000016,East Midlands,Leicester,,117.6,1.7,119.4,"1,637","1,348","2,985","13,912","777,168","25,006","12,522","165,258","12,663"
E06000018,East Midlands,Nottingham,,115.6,1.6,117.2,"1,456","1,135","2,591","12,596","699,631","22,104","11,236","169,260","11,353"
E06000017,East Midlands,Rutland,,12.6,0.2,12.8,202,92,294,"15,985","462,578","22,911","14,308","155,277","14,458"
E07000032,East Midlands,Amber Valley,,51.5,0.5,52.0,742,356,"1,098","14,422","674,836","21,115","13,317","147,885","13,410"
E07000033,East Midlands,Bolsover,,31.8,0.3,32.1,439,215,654,"13,788","780,691","20,355","13,015","180,000","13,079"
E07000034,East Midlands,Chesterfield,,46.6,0.5,47.1,611,302,913,"13,107","555,045","19,362","12,203","164,336","12,298"
E07000035,East Midlands,Derbyshire Dales,,25.5,0.4,25.9,409,298,707,"16,026","690,173","27,249","13,960","129,680","14,128"
E07000036,East Midlands,Erewash,,48.7,0.5,49.2,653,165,818,"13,411","349,364","16,629","12,350","156,370","12,426"
E07000037,East Midlands,High Peak,[note 1],37.6,0.5,38.1,577,276,853,"15,349","588,768","22,411","13,728","146,610","13,856"
E07000038,East Midlands,North East Derbyshire,,41.6,0.4,41.9,620,188,808,"14,914","527,308","19,264","13,858","145,470","13,920"
E07000039,East Midlands,South Derbyshire,,35.5,0.3,35.8,495,378,874,"13,960","1,197,452","24,403","12,833","127,835","12,905"
E07000129,East Midlands,Blaby,,38.1,0.4,38.5,562,167,729,"14,738","430,468","18,929","13,651","154,957","13,724"
E07000130,East Midlands,Charnwood,,66.5,0.8,67.3,951,589,"1,540","14,307","755,558","22,891","12,923","155,545","13,026"
E07000131,East Midlands,Harborough,,30.2,0.4,30.6,484,183,667,"16,001","486,215","21,792","14,429","130,115","14,527"
E07000132,East Midlands,Hinckley and Bosworth,,43.0,0.4,43.4,605,233,838,"14,069","622,623","19,332","12,875","143,072","12,955"
E07000133,East Midlands,Melton,,17.7,0.2,17.9,254,226,480,"14,298","1,177,298","26,747","12,935","121,779","13,019"
E07000134,East Midlands,North West Leicestershire,,34.9,0.4,35.3,521,562,"1,084","14,944","1,378,339","30,710","13,829","166,219","13,932"
E07000135,East Midlands,Oadby and Wigston,,22.2,0.3,22.5,341,104,445,"15,375","323,621","19,792","14,050","138,672","14,176"
E07000136,East Midlands,Boston,,21.4,0.2,21.7,284,70,353,"13,222","336,820","16,315","12,037","152,251","12,103"
E07000137,East Midlands,East Lindsey,,38.6,0.5,39.1,514,199,713,"13,311","426,166","18,255","11,836","139,331","11,933"
E07000138,East Midlands,Lincoln,[note 1],40.4,0.5,40.9,491,349,839,"12,152","697,440","20,532","10,884","178,586","10,987"
E07000139,East Midlands,North Kesteven,,35.9,0.3,36.2,493,193,686,"13,736","731,998","18,980","12,753","162,576","12,807"
E07000140,East Midlands,South Holland,[note 1],27.5,0.2,27.7,376,245,621,"13,675","1,146,982","22,437","12,472","130,534","12,531"
E07000141,East Midlands,South Kesteven,,46.5,0.4,47.0,626,392,"1,018","13,459","873,735","21,682","12,267","157,331","12,336"
E07000142,East Midlands,West Lindsey,,30.3,0.3,30.6,423,143,566,"13,947","530,208","18,506","12,871","154,253","12,946"
E07000150,East Midlands,Corby,[note 1],26.3,0.3,26.6,342,865,"1,207","13,027","2,583,205","45,407","12,319","195,235","12,399"
E07000151,East Midlands,Daventry,,23.3,0.3,23.6,342,202,544,"14,675","631,925","23,007","12,915","141,733","13,031"
E07000152,East Midlands,East Northamptonshire,,31.5,0.3,31.8,432,104,537,"13,716","337,343","16,857","12,510","149,506","12,582"
E07000153,East Midlands,Kettering,,38.5,0.4,38.9,518,402,921,"13,446","1,084,559","23,658","12,348","148,014","12,430"
E07000154,East Midlands,Northampton,,87.2,1.0,88.3,"1,115",590,"1,705","12,784","583,992","19,321","11,622","172,515","11,713"
E07000155,East Midlands,South Northamptonshire,,27.3,0.2,27.5,413,90,503,"15,128","381,403","18,281","13,767","121,220","13,833"
E07000156,East Midlands,Wellingborough,,31.8,0.4,32.1,416,155,570,"13,086","407,006","17,744","11,905","165,179","12,001"
E07000170,East Midlands,Ashfield,,51.3,0.5,51.7,707,296,"1,003","13,796","628,170","19,390","13,002","178,090","13,078"
E07000171,East Midlands,Bassetlaw,[note 1],40.6,0.4,41.0,555,246,801,"13,658","644,512","19,538","12,558","154,432","12,636"
E07000172,East Midlands,Broxtowe,,47.5,0.4,47.9,678,207,884,"14,270","527,822","18,475","13,242","148,620","13,312"
E07000173,East Midlands,Gedling,,47.9,0.4,48.2,714,272,985,"14,915","765,064","20,439","13,770","154,840","13,833"
E07000174,East Midlands,Mansfield,,45.5,0.4,45.9,647,150,797,"14,230","370,105","17,372","13,404","164,314","13,469"
E07000175,East Midlands,Newark and Sherwood,,43.4,0.4,43.8,622,818,"1,440","14,327","1,863,135","32,836","12,996","147,695","13,078"
E07000176,East Midlands,Rushcliffe,,43.6,0.4,44.0,707,520,"1,228","16,226","1,221,272","27,886","14,696","128,098","14,795"
E06000019,West Midlands,"Herefordshire, County of",,49.9,0.6,50.5,603,527,"1,129","12,079","856,474","22,363","10,558","149,035","10,638"
E06000051,West Midlands,Shropshire,,87.3,1.0,88.3,"1,120",688,"1,808","12,824","701,748","20,477","11,408","148,581","11,493"
E06000021,West Midlands,Stoke-on-Trent,[note 1],107.9,1.1,109.1,"1,354","1,011","2,365","12,543","897,031","21,683","11,721","166,829","11,793"
E06000020,West Midlands,Telford and Wrekin,,66.5,0.8,67.3,831,584,"1,415","12,489","763,164","21,025","11,427","183,361","11,509"
E07000192,West Midlands,Cannock Chase,,39.4,0.3,39.7,547,219,766,"13,878","642,596","19,272","13,016","164,524","13,091"
E07000193,West Midlands,East Staffordshire,,41.9,0.5,42.4,566,568,"1,134","13,528","1,144,646","26,771","12,333","153,922","12,433"
E07000194,West Midlands,Lichfield,,38.6,0.4,39.0,586,184,770,"15,204","413,709","19,739","13,649","133,280","13,753"
E07000195,West Midlands,Newcastle-under-Lyme,,50.2,0.5,50.7,707,424,"1,131","14,067","942,539","22,308","13,009","160,864","13,087"
E07000196,West Midlands,South Staffordshire,,40.3,0.3,40.6,599,310,909,"14,882","955,621","22,394","13,661","156,003","13,718"
E07000197,West Midlands,Stafford,,46.9,0.5,47.4,671,334,"1,005","14,310","688,929","21,214","13,118","167,719","13,218"
E07000198,West Midlands,Staffordshire Moorlands,,35.4,0.3,35.7,529,464,993,"14,932","1,469,784","27,801","13,856","154,342","13,923"
E07000199,West Midlands,Tamworth,,29.7,0.3,30.0,378,150,528,"12,729","511,284","17,621","11,854","159,998","11,921"
E07000218,West Midlands,North Warwickshire,,23.1,0.3,23.4,326,353,678,"14,093","1,156,721","28,980","12,960","154,894","13,060"
E07000219,West Midlands,Nuneaton and Bedworth,,50.8,0.5,51.3,665,206,871,"13,086","435,586","16,985","12,368","173,790","12,439"
E07000220,West Midlands,Rugby,,38.9,0.4,39.3,545,352,897,"14,017","811,667","22,827","12,757","157,169","12,848"
E07000221,West Midlands,Stratford-on-Avon,,35.9,0.5,36.4,515,197,712,"14,341","389,465","19,539","12,499","144,585","12,621"
E07000222,West Midlands,Warwick,,51.2,0.7,51.9,728,270,998,"14,214","373,103","19,219","12,578","146,246","12,710"
E08000025,West Midlands,Birmingham,[note 1],385.9,5.2,391.1,"5,419","3,346","8,766","14,042","649,173","22,414","12,672","167,646","12,804"
E08000026,West Midlands,Coventry,,126.2,1.3,127.5,"1,596",956,"2,552","12,643","746,091","20,018","11,675","182,976","11,759"
E08000027,West Midlands,Dudley ,,129.6,1.3,131.0,"1,751",654,"2,405","13,510","485,474","18,364","12,544","164,151","12,625"
E08000028,West Midlands,Sandwell ,,122.2,1.4,123.6,"1,566","1,111","2,678","12,822","797,887","21,673","11,934","170,216","12,031"
E08000029,West Midlands,Solihull,,81.6,0.9,82.5,"1,253",748,"2,001","15,353","851,112","24,261","13,874","165,358","13,974"
E08000030,West Midlands,Walsall,,104.5,1.1,105.6,"1,434",696,"2,129","13,725","627,244","20,169","12,579","167,004","12,673"
E08000031,West Midlands,Wolverhampton,,97.2,1.3,98.5,"1,335",669,"2,005","13,735","529,205","20,357","12,525","169,288","12,635"
E07000234,West Midlands,Bromsgrove,,36.1,0.4,36.5,575,134,708,"15,917","309,694","19,391","14,311","133,157","14,422"
E07000235,West Midlands,Malvern Hills,,21.2,0.3,21.5,286,75,361,"13,460","283,073","16,786","11,758","156,892","11,878"
E07000236,West Midlands,Redditch,,34.3,0.4,34.7,425,178,603,"12,377","481,964","17,387","11,321","162,333","11,411"
E07000237,West Midlands,Worcester,,40.0,0.5,40.5,478,230,707,"11,948","483,490","17,485","10,815","164,658","10,902"
E07000238,West Midlands,Wychavon,,37.9,0.4,38.3,508,494,"1,002","13,415","1,156,360","26,152","11,840","163,026","11,941"
E07000239,West Midlands,Wyre Forest,,38.8,0.3,39.1,502,155,657,"12,951","445,620","16,789","11,750","148,657","11,826"
E06000055,East,Bedford,,57.6,0.7,58.3,789,321,"1,110","13,702","439,217","19,029","12,242","145,816","12,350"
E06000056,East,Central Bedfordshire,,96.7,0.9,97.5,"1,346",435,"1,781","13,917","510,836","18,258","12,643","139,960","12,719"
E06000032,East,Luton,,69.8,0.8,70.6,999,372,"1,371","14,308","460,816","19,417","13,352","171,261","13,453"
E06000031,East,Peterborough,[note 1],71.8,0.8,72.6,909,409,"1,318","12,649","542,980","18,157","11,270","182,574","11,332"
E06000033,East,Southend-on-Sea,,72.4,0.7,73.2,"1,045",215,"1,260","14,426","294,227","17,218","13,002","134,240","13,110"
E06000034,East,Thurrock,[note 1],56.0,0.5,56.5,707,649,"1,356","12,617","1,330,606","23,999","11,647","160,937","11,708"
E07000008,East,Cambridge,,43.7,1.1,44.8,605,600,"1,206","13,844","529,988","26,884","11,700","177,160","11,948"
E07000009,East,East Cambridgeshire,,24.5,0.2,24.7,337,71,408,"13,736","353,969","16,504","12,346","140,179","12,414"
E07000010,East,Fenland,,33.1,0.3,33.4,443,632,"1,075","13,379","2,359,882","32,228","12,085","152,257","12,147"
E07000011,East,Huntingdonshire,[note 1],60.8,0.6,61.4,816,310,"1,126","13,434","537,874","18,358","12,192","148,550","12,263"
E07000012,East,South Cambridgeshire,,43.5,0.5,43.9,633,424,"1,058","14,576","930,874","24,092","13,003","165,574","13,090"
E07000066,East,Basildon,,69.1,0.6,69.8,891,336,"1,227","12,892","525,139","17,591","11,663","151,026","11,732"
E07000067,East,Braintree,,46.4,0.5,46.9,630,218,848,"13,570","452,286","18,076","12,200","135,933","12,273"
E07000068,East,Brentwood,,29.6,0.4,30.0,498,120,618,"16,812","287,941","20,566","14,933","123,419","15,084"
E07000069,East,Castle Point,,34.7,0.2,34.9,527,68,596,"15,209","281,476","17,063","14,239","136,034","14,291"
E07000070,East,Chelmsford,,58.3,0.6,58.9,835,268,"1,103","14,329","427,335","18,724","13,146","153,844","13,236"
E07000071,East,Colchester,,60.8,0.6,61.4,806,272,"1,078","13,270","439,206","17,566","12,030","155,668","12,106"
E07000072,East,Epping Forest,[note 1],47.1,0.7,47.8,768,345,"1,113","16,308","495,805","23,295","14,173","122,846","14,323"
E07000073,East,Harlow,[note 1],34.1,0.4,34.5,414,229,643,"12,125","603,991","18,624","11,216","196,115","11,277"
E07000074,East,Maldon,,16.3,0.1,16.4,226,66,292,"13,897","460,301","17,784","12,763","126,936","12,838"
E07000075,East,Rochford,,31.5,0.2,31.7,490,66,556,"15,570","264,863","17,519","14,557","128,200","14,621"
E07000076,East,Tendring,,54.7,0.5,55.2,713,255,967,"13,029","547,812","17,537","11,850","133,571","11,915"
E07000077,East,Uttlesford,,22.8,0.3,23.1,369,140,508,"16,184","439,114","22,009","14,288","141,497","14,431"
E07000095,East,Broxbourne,[note 1],35.0,0.4,35.4,489,139,628,"13,970","354,726","17,734","12,682","136,293","12,780"
E07000096,East,Dacorum,,55.6,0.7,56.2,843,223,"1,067","15,180","329,713","18,967","13,413","144,576","13,515"
E07000242,East,East Hertfordshire,,47.3,0.6,47.9,730,310,"1,039","15,418","520,389","21,686","13,749","132,408","13,866"
E07000098,East,Hertsmere,,38.7,0.7,39.4,645,282,926,"16,653","405,523","23,512","14,425","134,085","14,613"
